origin_date,target_date,horizon_days,phi,c,forecast,actual,error
2020-12-31,2021-01-29,20,0.9999507241971763,0.00029555976953718477,14.672439348476704,15.1903,-0.5178606515232964
2021-01-08,2021-02-05,20,0.9999560274174496,0.00029294854087096224,15.41927739925168,14.9266,0.4926773992516793
2021-01-15,2021-02-12,20,0.9999545778196764,0.0002936880500686553,15.232722833590008,14.661,0.5717228335900089
2021-01-22,2021-02-19,20,0.999953708090026,0.00029413792322165253,15.12798515318154,14.5616,0.5663851531815389
2021-01-29,2021-02-26,20,0.999954411280599,0.0002938046072194639,15.241943415198383,14.8367,0.4052434151983828
2021-02-05,2021-03-05,20,0.9999523966314349,0.0002948126533854472,14.976256261561973,15.3047,-0.3284437384380272
2021-02-12,2021-03-12,20,0.9999503624685835,0.00029581309330579513,14.70871112056878,14.9757,-0.26698887943121896
2021-02-19,2021-03-19,20,0.9999495265963434,0.00029623292174804747,14.608554681738068,14.654,-0.04544531826193143
2021-02-26,2021-03-26,19,0.9999514265731305,0.00029532368781515217,14.883072342480506,15.0113,-0.12822765751949383
2021-03-05,2021-04-01,18,0.9999546906710687,0.0002937170733345041,15.351615294173179,14.7241,0.627515294173179
2021-03-12,2021-04-09,17,0.9999522002867732,0.0002949829809275964,15.017907026641964,14.5894,0.4285070266419648
2021-03-19,2021-04-16,17,0.9999497658997757,0.00029618585163804093,14.694227104451995,14.2549,0.43932710445199596
2021-03-26,2021-04-23,18,0.9999522792037937,0.00029495554183911303,15.056118428462264,14.2938,0.7623184284622653
2021-04-01,2021-04-30,18,0.9999501256924936,0.00029601969644493006,14.767048923511156,14.3799,0.38714892351115715
2021-04-09,2021-05-07,19,0.999949073620164,0.0002965342075534573,14.63380901171764,14.2393,0.3945090117176395
2021-04-16,2021-05-14,19,0.9999465427276415,0.0002977488113014848,14.297114389850272,14.1485,0.14861438985027142
2021-04-23,2021-05-21,19,0.9999467424065803,0.0002976569704706906,14.336209596202856,13.9859,0.3503095962028553
2021-04-30,2021-05-28,20,0.9999472858726094,0.00029741309278634394,14.425068335482685,13.8194,0.6056683354826848
2021-05-07,2021-06-04,20,0.9999461740340826,0.00029794403858683454,14.283482536284058,13.6629,0.6205825362840578
2021-05-14,2021-06-11,20,0.999945418096002,0.0002983086079256482,14.192033365839693,13.5667,0.6253333658396922
2021-05-21,2021-06-18,19,0.999944146177022,0.0002989032631590671,14.026211598172328,14.0811,-0.05488840182767163
2021-05-28,2021-06-25,19,0.9999428394561753,0.00029950981156382547,13.858663779858711,14.1637,-0.3050362201412895
2021-06-04,2021-07-02,19,0.9999415990447058,0.0003000828791028764,13.701193319661453,14.4582,-0.7570066803385469
2021-06-11,2021-07-09,19,0.9999408027014063,0.00030045057069434943,13.604388549369633,14.2773,-0.6729114506303677
2021-06-18,2021-07-16,20,0.9999444829126887,0.0002987929058701805,14.123937590998612,14.4485,-0.32456240900138766
2021-06-25,2021-07-23,20,0.9999449804418142,0.0002985791930216891,14.207010696836736,14.7561,-0.5490893031632638
2021-07-02,2021-07-30,20,0.9999470204674328,0.0002976189176592009,14.503385301793461,14.5593,-0.05591469820653927
2021-07-09,2021-08-06,20,0.9999456229051805,0.00029829368056895507,14.321239762379179,14.5415,-0.22026023762082048
